Familia,Tàxon,Noms populars
Papilionàcies,Medicago sativa L. subsp. sativa,"['Alfals', 'Ufals', 'Userda']"
Pinàcies,Pinus halepensis Mill.,"['Pi', 'Pi blanc', 'Pi bord']"
Rutàcies,Citrus sinensis (L.) Osbeck,"['Taronger', 'Taronja', 'Toronja']"
Pinàcies,Abies alba Mill.,"['Avet', 'Auet', ""Oli d'avet""]"
Labiades,Mentha sp.,"['Menta', 'Herba-sana', 'Herba bona']"
Araliàcies,Hedera helix L.,"['Heura', 'Hedra', 'Helra']"
Umbel·líferes,Eryngium campestre L.,"['Panical', 'Espinacal', 'Card panical']"
Rosàcies,Crataegus monogyna Jacq. subsp. monogyna,"['Arç blanc', 'Gaurrer', 'Arç']"
Rosàcies,Crataegus monogyna Jacq.,"['Arç blanc', 'Brauller', 'Cirereta de pastor']"
Rosàcies,Rosa ×centifolia L.,"['Roser', 'Rosa', 'Roser bord']"
Boraginàcies,Lithospermum officinale L.,"['Mill del sol', 'Herba pedrera', 'Herba de la pedreta']"
Gesneriàcies,Ramonda myconi (L.) Reichenb.,"[""Orella d'os"", 'Setge', 'Herba peluda']"
Litràcies,Punica granatum L.,"['Magrana', 'Magraner', 'Magrana agra']"
Ranunculàcies,Helleborus foetidus L.,"['Manxiula', 'Marxívol', 'Escampador']"
Caprifoliàcies,Valeriana officinalis L.,"['Valeriana', 'Valedriana', 'Vleriana']"
Papaveràcies,Papaver somniferum L.,"['Cascall', 'Adormidera', 'Dormidera']"
Labiades,Thymus serpyllum L.,"['Herba de pastor', 'Salsa de pastor', 'Farigoleta']"
Rosàcies,Rosa sp.,"['Ròsa', 'Rosèr', 'Gavarrera']"
Labiades,Mentha ×piperita L.,"['Menta', 'Menta piperita', 'Menta romana']"
Papilionàcies,Medicago sativa L.,"['Userda', 'Alfals', 'Ufals']"
Cariofil·làcies,Herniaria glabra L.,"['Herba de Noé', 'Santaengrana', 'Herba de les mil granes']"
Compostes,Arctium minus Bernh.,"['Repalassa', 'Cospiner', 'Cospinera']"
Labiades,Ocimum basilicum L.,"['Alfàbrega', 'Fàbrega', 'Aufabeguera']"
Umbel·líferes,Carum carvi L.,"['Comí', 'Comineta', 'Herba de comí']"
Gramínies,Cynodon dactylon (L.) Pers.,"['Gram', 'Grama', 'Agram']"
Anacardiàcies,Pistacia lentiscus L.,"['Mata', 'Llentisca', 'Llentiscle']"
Labiades,Melissa officinalis L.,"['Tarongina', 'Tarongí', 'Melissa']"
Compostes,Arnica montana L. subsp. montana,"['Arnica', 'Flor de tabaco', 'Tabac de muntanya']"
Compostes,Chondrilla juncea L.,"['Màstec', 'Masteguera', 'Màstrec']"
Verbenàcies,Verbena officinalis L.,"['Berbena', 'Herba barbera', 'Herba berbena']"
Labiades,Satureja montana L.,"['Sajolida', 'Saboritja', 'Farigola']"
Ciperàcies,Scirpus holoschoenus L.,"['Jonc', 'Junc', 'Junco']"
Linàcies,Linum usitatissimum L. subsp. usitatissimum,"['Llinet', 'Llinosa', 'Lli']"
Solanàcies,Capsicum annuum L.,"['Pebrot', 'Bitxo', 'Pebrot']"
Labiades,Thymus vulgaris L. subsp. vulgaris,"['Farigola', 'Farigoleta', 'Thym']"
Compostes,Cynara scolymus L.,"['Carxofera', 'Carxofa', 'Carxofa']"
Papilionàcies,Vicia faba L.,"['Fava', 'Favera', 'Fava']"
Buxàcies,Buxus sempervirens L.,"['Boix', 'Buis', 'Boj']"
Rosàcies,Prunus spinosa L.,"['Aranyó', 'Aranyoner', 'Arç negre']"
Gramínies,Secale cereale L.,"['Séguel', 'Sègol', 'Blat']"
Compostes,Reichardia picroides (L.) Roth,"['Cosconilla', 'Cosconia', 'Casconilla']"
Rosàcies,Agrimonia eupatoria L.,"['Gramònica', 'Herba de mal estrany', 'Herba cuquera']"
Rosàcies,Sorbus domestica L.,"['Servera', 'Serva', 'Serva']"
Equisetàcies,Equisetum telmateia Ehrh.,"['Cua de cavall', 'Sangnua', 'Cua de mula']"
Gramínies,Oryza sativa L.,"['Arròs', 'Arroz']"
Cariofil·làcies,Silene vulgaris (Moench) Garcke,"['Colís', 'Coniell', 'Colitx']"
Labiades,Lavandula angustifolia Mill. subsp. pyrenaica (DC.) Guinea,"['Espígol', 'Botja de Sant Joan', 'Herba de Sant Joan']"
Portulacàcies,Portulaca oleracea L.,"['Verdolaga', 'Verdelaga', 'Verdalaga']"
Compostes,Tussilago farfara L.,"['Pota de cavall', 'Pota de mula', 'Peu de mula']"
Gramínies,Hordeum vulgare L.,"['Ordi', 'Ordi cerveser', ""Palla d'ordi""]"
Caprifoliàcies,Scabiosa atropurpurea L.,"['Escabeiosa', 'Escabiosa', 'Escapiosa']"
Papilionàcies,Phaseolus vulgaris L.,"['Mongeta', 'Mongeta', 'Mongetera']"
Cactàcies,Opuntia maxima Mill.,"['Figa de moro', 'Figuera de moro', 'Fulla de moro']"
Saxifragàcies,Saxifraga longifolia Lap. subsp. longifolia,"['Corona de rei', 'Corona', 'Gallineta']"
Urticàcies,Urtica urens L.,"['Ortiga', 'Ortigó', 'Ortiga petita']"
Linàcies,Linum usitatissimum L.,"['Lli', 'Llinet', 'Llinosa']"
Plantaginàcies,Plantago major L.,"['Plantatge', 'Plantatge ample', 'Plantatge de fulla ampla']"
Compostes,Helichrysum stoechas (L.) Moench,"['Sempreviva', 'Flor de Sant Joan', 'Herba de Sant Joan']"
Labiades,Hyssopus officinalis L.,['Hisop']
Betulàcies,Corylus avellana L.,"['Avellaner', 'Avellana', 'Vellaner']"
Compostes,Tanacetum vulgare L.,"['Tanarida', 'Herba cuquera', 'Comí marrà']"
Papilionàcies,Spartium junceum L.,"['Ginesta', 'Ginesta vera', 'Ginestera']"
Rosàcies,Prunus persica (L.) Batsch,"['Préssec', 'Presseguer', 'Préssec']"
Compostes,Cichorium intybus L.,"['Cama-roja', 'Cama-rotja', 'Xicoira']"
Rosàcies,Pyrus malus L. subsp. mitis (Wallr.) O.Bolòs et J.Vigo,"['Poma', 'Pomera', 'Pomer']"
Papaveràcies,Chelidonium majus L.,"['Celidònia', 'Herba de les berrugues', 'Herba berruguera']"
