Familia,Tàxon,Noms populars
Umbel·líferes,Angelica sylvestris L.,"['Angèlica', 'Greixa', 'Greixen']"
Cucurbitàcies,Cucurbita maxima Duch. in Lam.,"['Carbassa', 'Rabequet', 'Carabassa']"
Compostes,Silybum marianum (L.) Gaertn.,"['Card', 'Card marià', 'Cardo']"
Papilionàcies,Vicia sativa L.,"['Veça', 'Tapissot', 'Brulla de veça']"
Umbel·líferes,Conium maculatum L.,"['Cicuta', 'Sacuta', 'Cecuta']"
Compostes,Arnica montana L.,"['Àrnica', 'Arnica', 'Arnicó']"
Labiades,Lavandula angustifolia Mill.,"['Espígol', 'Bargalló', 'Vermelló']"
Crassulàcies,Sedum dasyphyllum L.,"['Arròs de paret', 'Pa de moixó', 'Arrosset']"
Amarantàcies,Beta vulgaris L.,"['Bleda', 'Remolatxa', 'Acelga']"
Lauràcies,Cinnamomum camphora (L.) Nees et Eberm.,"['Càmfora', 'Canyella', 'Pasta negra camforada']"
Compostes,Reichardia picroides (L.) Roth subsp. picroides,"['Cosconia', 'Cosconilla', 'Casconia']"
Campanulàcies,Campanula rapunculus L.,"['Repunxó', 'Rave bord', 'Herba ronyonera']"
Cucurbitàcies,Ecballium elaterium (L.) A.Richard in Bory,"['Combro bord', 'Carbassina', 'Coombro  bord']"
Compostes,Senecio leucophyllus DC.,"['Herba blanca', 'Herba blanca de Núria']"
Labiades,Teucrium polium L.,"['Timó mascle', 'Herba felera', 'Timonet mascle']"
Compostes,Cichorium endivia L.,"['Escarola', 'Endívia', 'Xicoia']"
Solanàcies,Datura stramonium L.,"['Herba taupera', 'Estramoni', 'Herba talpera']"
Papilionàcies,Lathyrus sativus L.,"['Guixa', 'Guixa']"
Rosàcies,Prunus domestica L. subsp. domestica,"['Prunera', 'Pruner', 'Pruna']"
Labiades,Sideritis angustifolia Lag.,"['Rabet* de gat', 'Rabo de gato', 'Rabo  de gat']"
Ericàcies,Erica scoparia L. subsp. scoparia,"[""Bruc d'escombres"", 'Bruc', 'Bruga']"
Labiades,Salvia verbenaca L.,"['Tàrrec', 'Tàrrega', 'Càrrec']"
Sapindàcies,Aesculus hippocastanum L.,"['Castanyer bord', 'Castanya borda', ""Castanyer d'Índies""]"
Rosàcies,Agrimonia eupatoria L. subsp. eupatoria,"['Serverola', 'Agrimònia', 'Serverata']"
Aràcies,Arum italicum Mill. subsp. italicum,"['Matafoc', 'Sarriassa', 'Lliri bord']"
Crucíferes,Capsella bursa-pastoris (L.) Medic.,"['Bossa de pastor', 'Misèria', 'Caps blancs']"
Cucurbitàcies,Cucumis melo L.,"['Meló', 'Meló', ""Meló de tot l'any""]"
Umbel·líferes,Daucus carota L.,"['Pastanaga', 'Pastanaga borda', 'Carlota']"
Compostes,Helianthus tuberosus L.,"['Nyàmera', 'Trumfa nyama', 'Nyapa']"
Iridàcies,Iris germanica L.,"['Lliri blau', 'Lliri', 'Contell']"
Labiades,Lavandula stoechas L. subsp. stoechas,"['Timó', 'Timonet', ""Cap d'ase""]"
Arecàcies,Phoenix dactylifera L.,"['Palma', 'Dàtil', 'Fasser']"
Caprifoliàcies,Scabiosa columbaria L.,"['Escabiosa', ""Herba d'escabiosa"", 'Escabeiosa']"
Compostes,Carlina acanthifolia All. subsp. cynara (Pourr. ex Duby) Arcang.,"['Carlina', 'Carolina', 'Gavarra']"
Cupressàcies,Cupressus sempervirens L.,"['Xiprer', 'Ciprés', 'Ciprer']"
Sacaromicetàcies,Saccharomyces sp.,"['Lleute', 'Llevadura*', 'Llevat']"
Asparagàcies,Aphyllanthes monspeliensis L.,"['Junça', 'Jonça', 'Llonsa']"
Compostes,Centaurea calcitrapa L.,"['Floravia', 'Herba espitllera', 'Obriülls']"
Amarantàcies,Chenopodium album L.,"['Blet', 'Blet blanc', 'Blet negre']"
Fagàcies,Quercus coccifera L.,"['Coscoll', 'Garric', 'Coscoll roig']"
Violàcies,Viola alba Besser,"['Viola', 'Violer', 'Violeta']"
Compostes,Artemisia vulgaris L.,"['Altimiri', 'Altimira', 'Cinta de Sant Joan']"
Compostes,Cirsium arvense (L.) Scop.,"['Calcida', 'Card', 'Calciga']"
Cucurbitàcies,Cucurbita pepo L. var. oblonga Link,"['Carbassó', 'Badoc', 'Carabassó']"
Compostes,Tanacetum balsamita L.,"['Menta romana', 'Cost', 'Menta']"
Violàcies,Viola alba Besser subsp. dehnhardtii (Ten.) W.Becker,"['Violeta', 'Viola', 'Viola petita']"
Rosàcies,Filipendula ulmaria (L.) Maxim.,"['Reine-des-prés', 'Reina de los prados', 'Brosta']"
Papilionàcies,Psoralea bituminosa L.,"['Cabrulla', 'Calabrulla', 'Cabruna']"
Fagàcies,Quercus petraea (Matt.) Liebl.,"['Roure', 'Aglà', 'Ruira']"
Labiades,Satureja fruticosa (L.) Briq.,"['Poleo', 'Poniol', 'Poliol']"
Compostes,Xanthium spinosum L.,"['Floravia', 'Gossos', 'Espina-xoca']"
Rosàcies,Pyrus communis L. subsp. communis,"['Perer', 'Pera', 'Perera']"
Gramínies,Sorghum bicolor (L.) Moench,"['Melca', 'Sorgo', 'Sordo']"
Urticàcies,Urtica sp.,"['Ortiga', 'Ortiga negra', 'Ortigó']"
Apocinàcies,Vincetoxicum hirundinaria Medic. subsp. intermedium (Loret et Barr.) Markgraf,"['Herba del verí', 'Herba del vri', 'Herba bormera']"
Aràcies,Arum italicum Mill.,"['Xèrria', 'Rapa', 'Xàrria']"
Papilionàcies,Pisum sativum L.,"['Pèsol', 'Pèsol', 'Pèsol']"
Gramínies,Stipa tenacissima L.,"['Espart', 'Esparto', ""Cordill d'espart""]"
Cucurbitàcies,Cucurbita ficifolia C.D.Bouché in Verh.,"['Carbassa', ""Carabassa de cabell d'àngel"", ""Carbassa de cabell d'àngel""]"
Amarantàcies,Chenopodium ambrosioides L.,"['Te', 'Te de formiga', 'Te bord']"
Solanàcies,Hyoscyamus albus L.,"['Herba queixalera', 'Beleño', 'Herba de capseta']"
Labiades,Salvia officinalis L. subsp. officinalis,"['Sàlvia', 'Sàlvia de fulla ampla']"
Compostes,Santolina chamaecyparissus L. subsp. chamaecyparissus,"['Camamilla', 'Camamil·la', 'Camamil·lera']"
Amarantàcies,Spinacia oleracea L.,"['Espinac', 'Espinaca']"
Asfodelàcies,Asphodelus aestivus Brot.,"['Aubó', 'Caramutxa', 'Porrassa']"
Cupressàcies,Juniperus phoenicea L.,"['Savina', 'Sivina', 'Gallifo de sabina']"
Labiades,Satureja calamintha (L.) Scheele subsp. ascendens (Jord.) Briq.,"['Poniol', 'Poliol', 'Herba de granet']"
Papilionàcies,Ononis spinosa L.,"['Gaó', 'Adragull', 'Agaó']"
Ericàcies,Rhododendron ferrugineum L.,"['Barcet', 'Bardanal', 'Barjal']"
Cucurbitàcies,Cucumis sativus L.,"['Cogombre', 'Cogombre', 'Pepino']"
Equisetàcies,Equisetum sp.,"['Cua de cavall', 'Sangnua', 'Cova de cavall']"
Labiades,Sideritis hirsuta L.,"['Herba de Sant Antoni', 'Ortiga blanca', 'Otriga blanca']"
Compostes,Artemisia verlotiorum Lamotte,"['Altimira', 'Armoise', 'Cinta']"
Compostes,Pallenis spinosa (L.) Cass. subsp. spinosa,"['Àrnica', 'Àrnica borda', 'Herba febrera']"
Rosàcies,Sanguisorba minor Scop. subsp. polygama (Waldst. et Kit.) Holub,"['Pampinella', 'Pimpinella', 'Herba de queixal']"
Crassulàcies,Sedum album L.,"['Crespinell', 'Arròs de paret', 'Raïm de sapo']"
Labiades,Stachys recta L.,"['Herba de Sant Antoni', 'Herba feridora', 'Feridora']"
Malvàcies,Theobroma cacao L.,"['Xocolata', 'Chocolate', 'Cacau']"
Crassulàcies,Umbilicus rupestris (Salisb.) Dandy,"['Barretet', 'Barret de paret', 'Barret de capellà']"
Papilionàcies,Cassia angustifolia Vahl.,"['Senet', 'Sen']"
Compostes,Hieracium pilosella L.,"['Herba cancera', 'Herba peluda', 'Peludeta']"
Compostes,Senecio vulgaris L.,"['Morrut', 'Herba de foc', 'Matafoc']"
Escrofulariàcies,Verbascum sp.,"['Trepó', 'Pórpora', 'Asturpa']"
Ericàcies,Erica scoparia L.,"['Bruga', 'Bruc', ""Bruc d'escombres""]"
Labiades,Mentha longifolia (L.) Huds.,"['Menta borda', 'Menta de gat', 'Menta blanca']"
Polipodiàcies,Polypodium vulgare L.,"['Herba felera', 'Foguera borda', 'Pòlip-pòlip']"
Labiades,Satureja hortensis L.,"['Sajolida', 'Senyorida', 'Señorita']"
Taxàcies,Taxus baccata L.,"['Teix', 'Quiner', 'Arbre quiner']"
Fagàcies,Fagus sylvatica L.,"['Faig', 'Faja', 'Hai']"
Esquisandràcies,Illicium verum Hook.f.,"['Anís estrellat', ""Estrella d'anís"", 'Anis étoilé']"
Rosàcies,Rosa tomentosa Sm.,"['Roser bord', 'Roser de bosc', 'Roser de pastor']"
Salicàcies,Salix viminalis L.,"['Vimenera', 'Vimequera', 'Vimen']"
Crassulàcies,Sedum acre L.,"['Crespinell', 'Crispinell', 'Raïm']"
Crassulàcies,Sedum sp.,"['Raïm de pastor', 'Crespinell', 'Arròs de paret']"
Papilionàcies,Vicia ervilia (L.) Willd.,"['Erb', 'Ert']"
Rutàcies,Dictamnus hispanicus Webb ex Willk.,"['Gitam', 'Timó real', 'Timó reial']"
Ramnàcies,Paliurus spina-christi Mill.,"['Espinavessa', 'Herba de la peluda', 'Barretet']"
Salicàcies,Populus nigra L.,"['Pollancre', 'Clop', 'Poll']"
Fagàcies,Quercus coccifera L. subsp. coccifera,"['Coscoll', 'Reboll', 'Garric']"
Asparagàcies,Urginea maritima (L.) Baker,"['Ceba marina', 'Ceba porrina', 'Cebolla']"
Amaril·lidàcies,Allium porrum L.,"['Porro', 'All porro', 'Puerro']"
Labiades,Ballota nigra L. subsp. foetida (Vis.) Hayek,"['Malroig', 'Marrèvol', 'Marruc']"
Crucíferes,Brassica oleracea L. subsp. oleracea var. italica Plenck,"['Bròquil', 'Bròcoli']"
Compostes,Centaurea nigra L.,['Caps de burro']
Gramínies,Lolium rigidum Gaud.,"['Margall', 'Maragall', 'Margall prenyat']"
Euforbiàcies,Mercurialis annua L.,"['Malcoratge', 'Murcarol', 'Murcarola']"
Umbel·líferes,Peucedanum ostruthium (L.) Koch,"['Salsufragi', 'Salsufrage']"
Labiades,Satureja fruticosa (L.) Briq. subsp. fruticosa,"['Poliol', 'Poniol', 'Poliolet']"
Compostes,Centaurea cyanus L.,"['Blauet', 'Bleuet', 'Cap blau']"
Ebenàcies,Diospyros kaki Linn.f.,"['Palosanto', 'Caqui', 'Caquier']"
Labiades,Prunella grandiflora (L.) Scholler,"['Herba del traïdor', 'Xuclaabella', 'Brunel·la']"
Rosàcies,Rosa micrantha Borrer ex Sm. in Sowerby,"['Gavarrera', 'Roser silvestre', 'Rosa silvestre']"
Rosàcies,Rosa pimpinellifolia L. subsp. pimpinellifolia,"['Garravera', 'Gavernera', 'Garrau']"
Compostes,Artemisia arborescens L.,"['Donzell', 'Absenta', 'Artemísia']"
Cistàcies,Cistus monspeliensis L.,"['Estepa negra', 'Mòdega', 'Estepa']"
Umbel·líferes,Crithmum maritimum L.,['Fonoll marí']
Plantaginàcies,Digitalis obscura L.,"['Escorrocia', ""Herba d'escorrocia"", 'Escurrugía']"
Labiades,Hyssopus officinalis L. subsp. canescens (DC.) Nyman,['Hisop']
Salicàcies,Salix alba L.,"['Salze', 'Saule', 'Vimetera']"
Salicàcies,Salix cinerea L.,['Gatell']
Papilionàcies,Trifolium incarnatum L.,"['Fenc', 'Trèvol']"
Escrofulariàcies,Verbascum sinuatum L.,"['Trepó', 'Boca de llop', 'Dent de llop']"
Ramnàcies,Ziziphus jujuba Mill.,"['Ginjoler', 'Gínjol', 'Gínjol']"
Plantaginàcies,Antirrhinum majus L.,"['Conillet', 'Gossos', 'Gossets']"
Compostes,Inula helvetica Weber,"['Àrnica', 'Àrnica borda']"
Rosàcies,Rosa gallica L.,"['Rosa de jardí', 'Rosa', 'Roser']"
Poligonàcies,Rumex sp.,"['Paradella', 'Santa Maria', 'Llengua bovina']"
Cariofil·làcies,Silene vulgaris (Moench) Garcke subsp. vulgaris,"['Esclafidor', 'Colís', 'Banya de cabra']"
Labiades,Teucrium chamaedrys L.,"['Brotònica', 'Brutònica', 'Herba amarga']"
Convolvulàcies,Ipomoea batatas Poir.,"['Moniato', 'Boniato', 'Moniato']"
Gramínies,Lygeum spartum L.,"['Espart', 'Albardín']"
Rosàcies,Prunus domestica L. subsp. insititia (L.) Bonnier et Layens,"['Prunyoner', 'Prinyó', 'Prunera']"
Ranunculàcies,Ranunculus parnassifolius L.,"['Herba del malgrà', 'Herba de malgrà', 'Herba malgrà']"
Gramínies,Brachypodium phoenicoides (L.) Roem. et Schultes,"['Fenàs', 'Fenal', 'Fanal']"
Capparàcies,Capparis spinosa L.,"['Tàpera', 'Taperera', 'Taperot']"
Cistàcies,Cistus salviifolius L.,"['Estepa', 'Estepa borrera', 'Estepa negra']"
Labiades,Lamium flexuosum Ten.,"['Ortiga blanca', 'Ortiga borda', 'Mataporc']"
Liliàcies,Lilium martagon L.,"['Consolta', 'Consolta vermella', 'Consolva']"
Papilionàcies,Lupinus albus L.,"['Llobí', 'Tramús', 'Tramús']"
Licoperdàcies,Lycoperdon sp.,"['Pet de llop', 'Bufa de llop', 'Llufa de llop']"
Platanàcies,Platanus ×hispanica Mill. ex Münchh.,"['Plàtan', 'Plataner', 'Platero']"
Crucíferes,Raphanus raphanistrum L. subsp. sativus (L.) Domin,"['Rave', 'Ravenet', 'Rabequet']"
Gramínies,Triticum dicoccon (Schrank) Schübl.,['Pisana']
Amarantàcies,Beta vulgaris L. subsp. maritima (L.) Arcang.,"['Bleda boscana', 'Bleda', 'Bleda borda']"
Papaveràcies,Fumaria officinalis L.,"['Fumària', 'Fumaterra', 'Rinflabous']"
Solanàcies,Solanum dulcamara L.,"['Dolçamara', 'Solano', 'Herba vermella']"
Geraniàcies,Geranium robertianum L.,"['Cicuta', 'Herba de Sant Robert', 'Gata rabiosa']"
Fagàcies,Quercus pubescens Willd.,"['Roure', 'Reboll']"
Papilionàcies,Ulex parviflorus Pourr.,"['Gatosa', 'Argilaga', 'Argilaga blanca']"
Caprifoliàcies,Valerianella locusta (L.) Laterrade,"['Marieta', 'Enciamet de la Mare de Déu', 'Dolceta']"
Aràcies,Alocasia odora (Loddiges) Spach.,['Marquesa']
Compostes,Anthemis arvensis L.,"['Camamilla borda', 'Panicor', 'Bòlig']"
Boraginàcies,Echium vulgare L.,"['Llengua de bou', 'Cua de porc', 'Herba peluda']"
Moràcies,Morus alba L.,"['Morera', 'Morer', 'Mora']"
Driopteridàcies,Polystichum setiferum (Forsk.) Woynar,"['Foguera', 'Foguera de jardí', ""Foguera d'aigua""]"
Salicàcies,Salix elaeagnos Scop.,"['Sarga', 'Salit', 'Salitera']"
Labiades,Vitex agnus-castus L.,"['Barda', 'Ximbla', 'Aloc']"
Labiades,Mentha aquatica L.,"['Menta', 'Herba-sana', 'Herba de la banda']"
Ramnàcies,Rhamnus alaternus L. subsp. myrtifolius (Wk.) Rivas-Mart.,"['Coscollina', 'Xaparro mixto', 'Coscojina']"
Rosàcies,Rubus caesius L.,"['Romegueró', 'Barsa bovina', 'Romegró']"
Cariofil·làcies,Stellaria media (L.) Vill.,"['Borrissol', 'Morró', 'Herba ponedora']"
Santalàcies,Viscum album L. subsp. austriacum (Wiesb.) Vollmann,"['Vesc', 'Vesquera', 'Visquercí']"
Rosàcies,Alchemilla alpina L.,"['Peucrist', 'Herba desinflamatòria', 'Herba Sant Crist']"
Asparagàcies,Asparagus horridus L. in J.A.Murray,"['Espàrec', 'Espareguera', 'Espárrago']"
Amarantàcies,Beta vulgaris L. subsp. vulgaris var. conditiva Alef.,"['Remolatxa', 'Cucurucha vermelha', 'Remolacha']"
Rubiàcies,Cinchona sp.,['Quina']
Cornàcies,Cornus sanguinea L.,"['Sanguinyol', 'Sangoll', 'Pelabou']"
Poligonàcies,Fagopyrum esculentum Moench,['Fajol']
Linàcies,Linum tenuifolium L. subsp. suffruticosum (L.) Litard.,"['Flor blanca', 'Flor maleïda', 'Botgeta']"
Oxalidàcies,Oxalis pes-caprae L.,"['Vinagrella', 'Prado', 'Trèvol de jardí']"
Anacardiàcies,Pistacia terebinthus L.,"['Púdol', 'Pudoler', 'Rentiscle']"
Malvàcies,Althaea cannabina L. subsp. cannabina,['Malví']
Gramínies,Avena sterilis L.,"['Cugula', 'Cogula', 'Cugula borda']"
Umbel·líferes,Heracleum sphondylium L.,"['Blancana', 'Pampa', 'Pàmpola']"
Umbel·líferes,Meum athamanticum Jacq.,"['Meu', 'Comí barrà', 'Comí barrat']"
Cariofil·làcies,Paronychia kapela (Hacq.) Kerner subsp. serpyllifolia (Chaix) Graebn.,"['Herba sanguinària', 'Sanguinària', 'Herba de la sang']"
Monimiàcies,Peumus boldus Molina,['Boldo']
Plantaginàcies,Plantago coronopus L. subsp. coronopus,"['Herba estrella', ""Herba de l'estrella"", 'Estrella']"
Posidoniàcies,Posidonia oceanica (L.) Delile,"['Alga', 'Posidònia', 'Bolla de la mar']"
Tifàcies,Typha angustifolia L.,"['Boga', 'Bova']"
Compostes,Artemisia alba Turra,"['Herba menuda', 'Botja', 'Botja per als ronyons']"
Umbel·líferes,Daucus carota L. subsp. carota,"['Pastanaga borda', 'Pastanaga', 'Carrota borda']"
Euforbiàcies,Euphorbia serrata L.,"['Lletrera', 'Lletdetresa', 'Llerca']"
Gramínies,Lolium perenne L.,"['Raigràs', 'Margall', 'Maragall']"
Crucíferes,Lunaria annua L. subsp. annua,"['Flor de plata', 'Flor de seda', 'Herba de plata']"
Urticàcies,Parietaria officinalis L.,"['Herba morella', 'Blet de paret', 'Morella']"
Labiades,"Salvia microphylla Humb., Bonpl. et Kunth","['Menta romana', 'Menta', 'Menta americana']"
Apocinàcies,Vinca difformis Pourr.,"['Vincapervinca', 'Vinca', 'Vincaperblinca']"
Crucíferes,Alyssum maritimum (L.) Lam.,"['Herba fetgera', 'Herbamel', 'Caps blancs']"
Aspleniàcies,Asplenium trichomanes L.,"['Falguereta de paret', 'Falzilla', 'Foguera']"
Gramínies,Brachypodium retusum (Pers.) Beauv.,"['Llistó', 'Fenàs', 'Heno']"
Gencianàcies,Centaurium pulchellum (Swartz) Druce,"['Herba de Santa Aura', 'Santaula']"
Papilionàcies,Dorycnium hirsutum (L.) Ser. in DC.,"['Herba ronyonera', 'Herba de setge', 'Herba de la flama']"
Papilionàcies,Genista balansae (Boiss.) Rouy subsp. europaea (G.López et Ch.E.Jarvis) O.Bolòs et J.Vigo,"['Escoba', 'Bàlec', 'Bales']"
Labiades,Lavandula dentata L.,"['Espígol', 'Lavanda', 'Candelero']"
Liliàcies,Lilium pyrenaicum Gouan,"['Consolta', 'Consolta groga', 'Consolta borda']"
Oxalidàcies,Oxalis acetosella L.,"['Pa-i-vi', 'Cacauet', 'Trèvol']"
Aspleniàcies,Phyllitis scolopendrium (L.) Newm.,"['Herba melsera', 'Melsera', 'Lengua de ciervo']"
Gramínies,Phyllostachys aurea (Carr.) A. et C.Riv.,"['Canya americana', 'Canya de bambú', 'Canya americana verda']"
Saxifragàcies,Saxifraga paniculata Mill.,['Corona de rei']
Labiades,Teucrium polium L. subsp. capitatum (L.) Arcang.,"['Timó mascle', 'Herba de Sant Ponç', 'Tomillo blanco']"
Zigofil·làcies,Tribulus terrestris L.,"['Queixal de vella', 'Picatalons', 'Boet']"
Umbel·líferes,Apium nodiflorum (L.) Lag. subsp. nodiflorum,"['Àpit bord', 'Api bord', 'Créixem de bou']"
Umbel·líferes,Coriandrum sativum L.,"['Celiandre', 'Cilandro', 'Coriandre']"
Cucurbitàcies,Cucurbita moschata Duchesne,['Carbassa']
Caprifoliàcies,Dipsacus fullonum L.,"['Card', 'Assotacristos', 'Card de bruixa']"
Ranunculàcies,Helleborus viridis L.,"['Marxívol', 'Mengívol']"
Pinàcies,Pinus nigra Arnold subsp. salzmannii (Dunal) Franco,"['Pi', 'Pinassa', 'Melis']"
Gramínies,Saccharum officinarum L.,"['Sucre candi', 'Rom', 'Sucre']"
Gramínies,Sorghum halepense (L.) Pers.,"['Canyota', 'Milloca']"
Labiades,Thymus piperella L.,['Pebrella']
Primulàcies,Coris monspeliensis L. subsp. monspeliensis,"['Farigola mascle', 'Herba estronquera', 'Farigola de pastor']"
Compostes,Crepis vesicaria L.,"['Raditxa', 'Calroig groc', 'Cama-roja borda']"
Papilionàcies,Lens culinaris Medic. subsp. culinaris,"['Llentia', 'Llentia']"
Plantaginàcies,Plantago media L.,"['Plantatge', 'Cua de rat', 'Herba dels ocellets']"
Poligonàcies,Rumex acetosella L. subsp. angiocarpus Murb.,"['Vinagrella', 'pa-i-vi', 'Manigrella']"
Crassulàcies,Sedum rupestre L.,"['Ramiol', 'Arròs bord', 'Fideu bord']"
Pteridàcies,Adiantum capillus-veneris L.,"['Falzia', 'Falsija', 'Falguera']"
Solanàcies,Capsicum frutescens L.,"['Bitxo', 'Guindilla', 'Espicier']"
Rubiàcies,Galium lucidum All.,"['Herba de Sant Joan', 'Galio', 'Flor de Sant Joan']"
Compostes,Helianthus annuus L.,"['Gira-sol', 'Pipa', 'Girasol']"
Caprifoliàcies,Lonicera periclymenum L.,"['Xuclamel', 'Lligabosc', 'Mareselva']"
Plantaginàcies,Plantago coronopus L.,"['Cervellina', 'Hierba de las almorranas', 'Cerverina']"
Rosàcies,Pyrus malus L. subsp. sylvestris (L.) Ehrh.,"['Poma', 'Pomera', 'Poma borda']"
Salicàcies,Salix caprea L.,"['Gatsaule', 'Gatell', 'Salit']"
Rosàcies,Sanguisorba minor Scop.,"['Enciam de cavaller', 'Esparcet bord', 'Pimpinella']"
Crucíferes,Sinapis alba L.,"['Mostassa', 'Mostarda', 'Moutarde']"
Labiades,Teucrium chamaedrys L. subsp. pinnatifidum (Senn.) Reichenb.f.,"['Beltrònica', 'Beteta', 'Brotònica']"
Urticàcies,Urtica membranacea Poiret in Lam.,['Ortiga']
Crucíferes,Brassica rapa L.,"['Nap', 'Nap de bou', 'Nap boal']"
Papilionàcies,Calicotome spinosa (L.) Link,"['Argelaga', 'Argelac', 'Arrelac']"
Gencianàcies,Centaurium quadrifolium (L.) G.López et Ch.E.Jarvis subsp. barrelieri (Duf.) G.López,"['Pericó', 'Santaula', 'Hierba amarga']"
Cistàcies,Cistus laurifolius L.,"['Argentís', 'Ciste', 'Búfia']"
Compostes,Chamaemelum nobile (L.) All.,"['Camamirla vera', 'Mançanilla', 'Camamil·la']"
Papilionàcies,Genista scorpius (L.) DC. in Lam. et DC. subsp. scorpius,['Argelaga']
Labiades,Lavandula angustifolia Mill. subsp. angustifolia,"['Espígol', 'Lavanda', 'Lavanda']"
Malvàcies,Lavatera cretica L.,"['Vauma', 'Malva', 'Vaumera']"
Plantaginàcies,Plantago sp.,"['Plantatge', 'Herba per als aucells', 'Llentent* menor']"
Salicàcies,Populus alba L.,"['Alba', 'Arbre blanc', 'Pollancre']"
Fagàcies,Quercus ilex L. subsp. ballota (Desf.) Samp.,"['Carrasca', 'Malla', 'Carrasquizo']"
Poligonàcies,Rumex pulcher L.,"['Llengua de bou', 'Paradella', 'Arengadeta']"
Solanàcies,Solanum nigrum L.,"['Tomaquera borda', 'Herba morera', 'Tomatera borda']"
Labiades,Teucrium polium L. subsp. polium,"['Timó', 'Timonet', 'Timolet']"
Labiades,Thymbra capitata (L.) Cav.,"['Frígola', 'Senyorida', 'Tomillo']"
Adoxàcies,Viburnum lantana L.,"['Cantellatge', 'Cartellatge', 'Tortellatge']"
Violàcies,Viola sylvestris Lam.,"['Violer', 'Viola', 'Violeta']"
Zingiberàcies,Zingiber officinale Roscoe,['Gingebre']
Papilionàcies,Anthyllis cytisoides L.,"['Albada', 'Botja blanca', 'Botja de ramas']"
Gramínies,Briza media L.,"['Arracadetes de la Mare de Déu', 'Belluguets', 'Bellugadís']"
Compostes,Centaurea pectinata L. subsp. pectinata,"['Travarada', 'Travalera', 'Barbassa']"
Rutàcies,Cneorum tricoccon L.,"['Raspall', 'Escanyacabres', 'Olivella']"
Umbel·líferes,Cuminum cyminum L.,"['Comí', 'Cuní']"
Amarantàcies,Chenopodium bonus-henricus L.,"['Sarró', 'Sarronet', 'Épinard  salvatge']"
Cariofil·làcies,Dianthus caryophyllus L.,"['Clavell', 'Clavell domèstic', 'Clavel']"
Plantaginàcies,Globularia cordifolia L. subsp. cordifolia,"['Herba negra', 'Sanguinari', 'Carcanet']"
Ericàcies,Loiseleuria procumbens (L.) Desv.,"['Herba del Llaret', 'Herba pedrera', 'Herba dels reins']"
Moràcies,Morus nigra L.,"['Morera', 'Arça', 'Mora']"
Boraginàcies,Symphytum officinale L.,"['Consuelda', 'Consolta', 'Consuelda  major']"
Cistàcies,Cistus clusii Dunal,"['Romer mascle', 'Romaní mascle', 'Romerilla']"
Juncàcies,Juncus effusus L.,"['Jonc', 'Jonc marí']"
Magnoliàcies,Magnolia grandiflora L.,['Magnòlia']
Compostes,Pallenis spinosa (L.) Cass.,"['Àrnica', 'Corona de rei', 'Mala mare']"
Fagàcies,Quercus faginea Lam.,"['Roure', 'Roble', 'Carrasca']"
Poligonàcies,Rumex longifolius DC. in Lam. et DC.,"['Roma', 'Ribardo', 'Romeda']"
Labiades,Sideritis hirsuta L. subsp. hirsuta,"['Ortiga blanca', 'Rabo  de gat', 'Ordiga blanca']"
Escrofulariàcies,Verbascum lychnitis L.,"['Gamó', 'Croca', 'Salmó']"
Gramínies,Ampelodesmos mauritanica (Poiret) T.Durand et Schinz,"['Càrritx', 'Carritxera', 'Càrritx femella']"
Compostes,Artemisia campestris L.,"['Botja', 'Sant sepulcre', 'Botja dels gitanos']"
Burceràcies,Boswellia carterii Birdd.,"['Encens', 'Pega']"
Primulàcies,Coris monspeliensis L.,"['Xerpó', 'Farigola de pastor', 'Timó real']"
Umbel·líferes,Eryngium bourgatii Gouan,"['Espinacal', 'Espinacal blau', 'Card blau']"
Cariofil·làcies,Herniaria hirsuta L.,"['Arenària', 'Centengrana', ""Herba d'acetona""]"
Labiades,Hyssopus officinalis L. subsp. officinalis,['Hisop']
Labiades,Lamium album L.,"['Ortiga blanca', 'Otriga blanca', 'Mano de la Virgen']"
Labiades,Origanum virens Hoffms. et Link,"['Orégano', 'Te roig', 'Fainó']"
Pinàcies,Pinus mugo Turra,"['Pin', 'Broton de pin', 'Trementina']"
Rosàcies,Potentilla reptans L.,"['Gram negre', 'Mal-llaura', 'Cinco en rama']"
Primulàcies,Primula veris L.,"['Cucut', 'Flor de cucut', 'Herba del cucut']"
Ranunculàcies,Ranunculus bulbosus L. subsp. bulbosus,['Gata rabiosa']
Ciperàcies,Scirpus holoschoenus L. var. vulgaris Koch,['Jonc']
Papilionàcies,Trigonella foenum-graecum L.,"['Senigrec', 'Sinegrec', 'Fenigrec']"
Amarantàcies,Amaranthus retroflexus L.,"['Blet', 'Bleit', 'Blet verd']"
Compostes,Anacyclus clavatus (Desf.) Pers.,"['Camamilla borda', 'Bolits', 'Margarita']"
Cupressàcies,Juniperus phoenicea L. tubinata (Guss) Parl.,"['Savina', 'Sivina']"
Asparagàcies,Muscari comosum (L.) Mill.,"['Calabruixa', 'All de serp', 'Bruixa']"
Compostes,Otanthus maritimus (L.) Hoffms. et Link,['Herba des Trucadors']
Geraniàcies,Pelargonium capitatum Ait.,"['Vauma-rosa', 'Malva-rosa', ""Gerani d'olor""]"
Labiades,Phlomis lychnitis L.,"['Orella de llebre', 'Rabo de gato', 'Rabo  de gat']"
Plantaginàcies,Plantago sempervirens Crantz,"['Herba gangrenera', 'Botja', 'Botja borda']"
